,system:index,area,class_id,class_name,territory,version,year,.geo,LEVEL_1,LEVEL_2,LEVEL_3
66,1_1_14,0.1986852776489258,58,Cultivos Multiples,1.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,
67,1_2_0,15548.62552137945,3,Leñosas Cerradas,2.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Tarija,
68,1_2_1,327.96065709408447,4,Leñosas Abiertas,2.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Tarija,
69,1_2_2,0.4098726313447839,6,Leñosas Inundables,2.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Tarija,
70,1_2_3,10.434456535247206,11,Pastizal Inundable,2.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Tarija,
71,1_2_4,0.1444901173832912,15,Pasturas,2.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Tarija,
72,1_2_5,70.5786217475268,23,Playa y Dunas,2.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Tarija,
73,1_2_6,1.495308604179593,24,Infraestructura Urbana,2.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Tarija,
74,1_2_7,4.766272509243835,25,Otras Areas No Vegetadas,2.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Tarija,
75,1_2_8,146.37450629207203,26,Cuerpo de agua,2.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Tarija,
76,1_2_9,1.069667852800436,42,Pastizal Abierto,2.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Tarija,
77,1_2_10,41.37417205814401,43,Pastizal Cerrado,2.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Tarija,
78,1_2_11,211.30367658205623,57,Cultivos Simples,2.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Tarija,
79,2_0_0,9118.737515960576,3,Leñosas Cerradas,0.0,col5-v2-bol-level_2-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
80,2_0_1,128.37161645718243,4,Leñosas Abiertas,0.0,col5-v2-bol-level_2-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
81,2_0_2,1.954658111206063,6,Leñosas Inundables,0.0,col5-v2-bol-level_2-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
82,2_0_3,1.6566884309082015,11,Pastizal Inundable,0.0,col5-v2-bol-level_2-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
83,2_0_4,0.1200323432617187,15,Pasturas,0.0,col5-v2-bol-level_2-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
84,2_0_5,4.542312786812813,23,Playa y Dunas,0.0,col5-v2-bol-level_2-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
85,2_0_6,0.4738316213989235,24,Infraestructura Urbana,0.0,col5-v2-bol-level_2-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
86,2_0_7,0.6105762217435952,25,Otras Areas No Vegetadas,0.0,col5-v2-bol-level_2-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
87,2_0_8,8.031585491618321,26,Cuerpo de agua,0.0,col5-v2-bol-level_2-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
88,2_0_9,1.2123867227448115,42,Pastizal Abierto,0.0,col5-v2-bol-level_2-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
89,2_0_10,82.23260848911359,43,Pastizal Cerrado,0.0,col5-v2-bol-level_2-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
90,2_0_11,84.90508760966206,57,Cultivos Simples,0.0,col5-v2-bol-level_2-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
91,2_0_12,0.0429460692138671,58,Cultivos Multiples,0.0,col5-v2-bol-level_2-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
92,2_1_0,91461.23948999486,3,Leñosas Cerradas,1.0,col5-v2-bol-level_2-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,
93,2_1_1,3241.4254839578384,4,Leñosas Abiertas,1.0,col5-v2-bol-level_2-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,
94,2_1_2,205.17874110149447,6,Leñosas Inundables,1.0,col5-v2-bol-level_2-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,
95,2_1_3,4.341030819722024,11,Pastizal Inundable,1.0,col5-v2-bol-level_2-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,
96,2_1_4,300.6846227212905,15,Pasturas,1.0,col5-v2-bol-level_2-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,
97,2_1_5,112.16225468852902,23,Playa y Dunas,1.0,col5-v2-bol-level_2-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,
98,2_1_6,56.61209703977195,24,Infraestructura Urbana,1.0,col5-v2-bol-level_2-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,
99,2_1_7,3.987624674778847,25,Otras Areas No Vegetadas,1.0,col5-v2-bol-level_2-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,
100,2_1_8,363.0031687161903,26,Cuerpo de agua,1.0,col5-v2-bol-level_2-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,
101,2_1_9,1.4820095080566371,32,Salinas,1.0,col5-v2-bol-level_2-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,
102,2_1_10,0.0361189986572265,36,Cultivos Arbustivos,1.0,col5-v2-bol-level_2-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,
103,2_1_11,172.51410010493083,42,Pastizal Abierto,1.0,col5-v2-bol-level_2-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,
104,2_1_12,300.2506277634988,43,Pastizal Cerrado,1.0,col5-v2-bol-level_2-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,
105,2_1_13,541.0467843684793,57,Cultivos Simples,1.0,col5-v2-bol-level_2-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,
106,2_1_14,11.892303377746591,58,Cultivos Multiples,1.0,col5-v2-bol-level_2-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,
107,2_2_0,15555.350957994257,3,Leñosas Cerradas,2.0,col5-v2-bol-level_2-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Tarija,
108,2_2_1,318.8129068473013,4,Leñosas Abiertas,2.0,col5-v2-bol-level_2-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Tarija,
109,2_2_2,0.341842308141611,6,Leñosas Inundables,2.0,col5-v2-bol-level_2-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Tarija,
110,2_2_3,9.174133498657229,11,Pastizal Inundable,2.0,col5-v2-bol-level_2-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Tarija,
111,2_2_4,0.1276143170572916,15,Pasturas,2.0,col5-v2-bol-level_2-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Tarija,
112,2_2_5,85.57596945926612,23,Playa y Dunas,2.0,col5-v2-bol-level_2-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Tarija,
113,2_2_6,1.5245018714525382,24,Infraestructura Urbana,2.0,col5-v2-bol-level_2-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Tarija,
114,2_2_7,2.184029284766106,25,Otras Areas No Vegetadas,2.0,col5-v2-bol-level_2-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Tarija,
115,2_2_8,138.50278139864008,26,Cuerpo de agua,2.0,col5-v2-bol-level_2-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Tarija,
116,2_2_9,2.148989963914107,42,Pastizal Abierto,2.0,col5-v2-bol-level_2-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Tarija,
117,2_2_10,41.699332974079454,43,Pastizal Cerrado,2.0,col5-v2-bol-level_2-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Tarija,
118,2_2_11,209.0933278498751,57,Cultivos Simples,2.0,col5-v2-bol-level_2-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Tarija,
119,2_2_12,0.0008356360473632812,58,Cultivos Multiples,2.0,col5-v2-bol-level_2-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Tarija,
120,3_0_0,9102.066942334017,3,Leñosas Cerradas,0.0,col5-v2-bol-level_2-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
121,3_0_1,151.0704327167073,4,Leñosas Abiertas,0.0,col5-v2-bol-level_2-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
122,3_0_2,0.7418136069946318,6,Leñosas Inundables,0.0,col5-v2-bol-level_2-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
123,3_0_3,0.0903734324951171,11,Pastizal Inundable,0.0,col5-v2-bol-level_2-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
124,3_0_4,0.1014995662841797,15,Pasturas,0.0,col5-v2-bol-level_2-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
125,3_0_5,7.179277706810321,23,Playa y Dunas,0.0,col5-v2-bol-level_2-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
126,3_0_6,0.5299219905395487,24,Infraestructura Urbana,0.0,col5-v2-bol-level_2-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
127,3_0_7,0.1616247374267578,25,Otras Areas No Vegetadas,0.0,col5-v2-bol-level_2-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
128,3_0_8,7.835039641465139,26,Cuerpo de agua,0.0,col5-v2-bol-level_2-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
