system:index,area,class_id,class_name,territory,version,year,.geo
2_0_11,0.03611899865722654,36,Cultivos Arbustivos,0.0,col5-v2-chaco-level_bioma-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
2_0_12,6918.10214366336,42,Pastizal Abierto,0.0,col5-v2-chaco-level_bioma-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
2_0_13,50626.94570041002,43,Pastizal Cerrado,0.0,col5-v2-chaco-level_bioma-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
2_0_14,699.8153647459185,44,Pastizal Disperso,0.0,col5-v2-chaco-level_bioma-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
2_0_15,14417.842192668715,45,Leñosas Dispersas,0.0,col5-v2-chaco-level_bioma-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
2_0_16,35758.57249945219,57,Cultivos Simples,0.0,col5-v2-chaco-level_bioma-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
2_0_17,5772.432564337266,58,Cultivos Multiples,0.0,col5-v2-chaco-level_bioma-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
3_0_0,676538.4414414358,3,Leñosas Cerradas,0.0,col5-v2-chaco-level_bioma-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
3_0_1,77393.77542046542,4,Leñosas Abiertas,0.0,col5-v2-chaco-level_bioma-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
3_0_2,69320.61156849985,6,Leñosas Inundables,0.0,col5-v2-chaco-level_bioma-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
3_0_3,626.800867058139,9,Leñosas Cultivadas,0.0,col5-v2-chaco-level_bioma-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
3_0_4,92572.67836230528,11,Pastizal Inundable,0.0,col5-v2-chaco-level_bioma-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
3_0_5,25340.46734224688,15,Pasturas,0.0,col5-v2-chaco-level_bioma-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
3_0_6,657.7017279085399,23,Playa y Dunas,0.0,col5-v2-chaco-level_bioma-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
3_0_7,2389.6804902055887,24,Infraestructura Urbana,0.0,col5-v2-chaco-level_bioma-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
3_0_8,248.90448552609772,25,Otras Areas No Vegetadas,0.0,col5-v2-chaco-level_bioma-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
3_0_9,10156.708316631817,26,Cuerpo de agua,0.0,col5-v2-chaco-level_bioma-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
3_0_10,5025.140393086129,32,Salinas,0.0,col5-v2-chaco-level_bioma-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
3_0_11,0.082318125,36,Cultivos Arbustivos,0.0,col5-v2-chaco-level_bioma-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
3_0_12,6983.532817656154,42,Pastizal Abierto,0.0,col5-v2-chaco-level_bioma-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
3_0_13,52717.28855795903,43,Pastizal Cerrado,0.0,col5-v2-chaco-level_bioma-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
3_0_14,720.3650510891722,44,Pastizal Disperso,0.0,col5-v2-chaco-level_bioma-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
3_0_15,14785.874283819543,45,Leñosas Dispersas,0.0,col5-v2-chaco-level_bioma-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
3_0_16,37557.10316848851,57,Cultivos Simples,0.0,col5-v2-chaco-level_bioma-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
3_0_17,5348.024612147117,58,Cultivos Multiples,0.0,col5-v2-chaco-level_bioma-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
4_0_0,673577.934397572,3,Leñosas Cerradas,0.0,col5-v2-chaco-level_bioma-FINAL,1989,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
4_0_1,78234.35244648835,4,Leñosas Abiertas,0.0,col5-v2-chaco-level_bioma-FINAL,1989,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
4_0_2,68694.13531200709,6,Leñosas Inundables,0.0,col5-v2-chaco-level_bioma-FINAL,1989,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
4_0_3,676.1340660747246,9,Leñosas Cultivadas,0.0,col5-v2-chaco-level_bioma-FINAL,1989,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
4_0_4,92591.90290722942,11,Pastizal Inundable,0.0,col5-v2-chaco-level_bioma-FINAL,1989,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
4_0_5,26298.90494097406,15,Pasturas,0.0,col5-v2-chaco-level_bioma-FINAL,1989,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
4_0_6,711.9962875182243,23,Playa y Dunas,0.0,col5-v2-chaco-level_bioma-FINAL,1989,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
4_0_7,2392.6654641188047,24,Infraestructura Urbana,0.0,col5-v2-chaco-level_bioma-FINAL,1989,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
4_0_8,337.5333180019037,25,Otras Areas No Vegetadas,0.0,col5-v2-chaco-level_bioma-FINAL,1989,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
4_0_9,10579.59941269787,26,Cuerpo de agua,0.0,col5-v2-chaco-level_bioma-FINAL,1989,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
4_0_10,5262.928611583862,32,Salinas,0.0,col5-v2-chaco-level_bioma-FINAL,1989,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
4_0_11,0.04286121044921873,36,Cultivos Arbustivos,0.0,col5-v2-chaco-level_bioma-FINAL,1989,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
4_0_12,6866.804426739416,42,Pastizal Abierto,0.0,col5-v2-chaco-level_bioma-FINAL,1989,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
4_0_13,52762.00648449454,43,Pastizal Cerrado,0.0,col5-v2-chaco-level_bioma-FINAL,1989,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
4_0_14,729.2844092396087,44,Pastizal Disperso,0.0,col5-v2-chaco-level_bioma-FINAL,1989,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
4_0_15,15259.830631216448,45,Leñosas Dispersas,0.0,col5-v2-chaco-level_bioma-FINAL,1989,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
4_0_16,40881.40803279957,57,Cultivos Simples,0.0,col5-v2-chaco-level_bioma-FINAL,1989,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
4_0_17,2525.7172146827406,58,Cultivos Multiples,0.0,col5-v2-chaco-level_bioma-FINAL,1989,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
5_0_0,673079.6415831046,3,Leñosas Cerradas,0.0,col5-v2-chaco-level_bioma-FINAL,1990,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
5_0_1,77974.65530486566,4,Leñosas Abiertas,0.0,col5-v2-chaco-level_bioma-FINAL,1990,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
5_0_2,69431.24508774804,6,Leñosas Inundables,0.0,col5-v2-chaco-level_bioma-FINAL,1990,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
5_0_3,788.1851238887368,9,Leñosas Cultivadas,0.0,col5-v2-chaco-level_bioma-FINAL,1990,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
5_0_4,92129.74041698089,11,Pastizal Inundable,0.0,col5-v2-chaco-level_bioma-FINAL,1990,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
5_0_5,26861.038777335983,15,Pasturas,0.0,col5-v2-chaco-level_bioma-FINAL,1990,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
5_0_6,608.6789373728095,23,Playa y Dunas,0.0,col5-v2-chaco-level_bioma-FINAL,1990,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
5_0_7,2397.7220517506944,24,Infraestructura Urbana,0.0,col5-v2-chaco-level_bioma-FINAL,1990,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
5_0_8,388.0343112025174,25,Otras Areas No Vegetadas,0.0,col5-v2-chaco-level_bioma-FINAL,1990,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
5_0_9,10385.508754567232,26,Cuerpo de agua,0.0,col5-v2-chaco-level_bioma-FINAL,1990,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
5_0_10,5293.950227622037,32,Salinas,0.0,col5-v2-chaco-level_bioma-FINAL,1990,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
5_0_11,0.3950420311279298,36,Cultivos Arbustivos,0.0,col5-v2-chaco-level_bioma-FINAL,1990,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
5_0_12,6789.34826105285,42,Pastizal Abierto,0.0,col5-v2-chaco-level_bioma-FINAL,1990,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
5_0_13,53362.10690424056,43,Pastizal Cerrado,0.0,col5-v2-chaco-level_bioma-FINAL,1990,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
5_0_14,719.9813512087666,44,Pastizal Disperso,0.0,col5-v2-chaco-level_bioma-FINAL,1990,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
5_0_15,14739.871437858763,45,Leñosas Dispersas,0.0,col5-v2-chaco-level_bioma-FINAL,1990,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
5_0_16,37031.87947838468,57,Cultivos Simples,0.0,col5-v2-chaco-level_bioma-FINAL,1990,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
5_0_17,6401.198173435455,58,Cultivos Multiples,0.0,col5-v2-chaco-level_bioma-FINAL,1990,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
6_0_0,673187.1554026349,3,Leñosas Cerradas,0.0,col5-v2-chaco-level_bioma-FINAL,1991,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
6_0_1,77282.62911027833,4,Leñosas Abiertas,0.0,col5-v2-chaco-level_bioma-FINAL,1991,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
6_0_2,69245.99453517399,6,Leñosas Inundables,0.0,col5-v2-chaco-level_bioma-FINAL,1991,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
6_0_3,706.8058271351546,9,Leñosas Cultivadas,0.0,col5-v2-chaco-level_bioma-FINAL,1991,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
