,system:index,area,class_id,class_name,territory,version,year,.geo,LEVEL_0,LEVEL_1
60,3_0_9,7523.528219962664,26,Cuerpo de agua,0.0,col5-v2-arg-level_1-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
61,3_0_10,5022.780271642856,32,Salinas,0.0,col5-v2-arg-level_1-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
62,3_0_11,6843.457613869175,42,Pastizal Abierto,0.0,col5-v2-arg-level_1-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
63,3_0_12,28146.145074253385,43,Pastizal Cerrado,0.0,col5-v2-arg-level_1-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
64,3_0_13,719.0072859316765,44,Pastizal Disperso,0.0,col5-v2-arg-level_1-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
65,3_0_14,14785.202040088445,45,Leñosas Dispersas,0.0,col5-v2-arg-level_1-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
66,3_0_15,35912.30446539695,57,Cultivos Simples,0.0,col5-v2-arg-level_1-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
67,3_0_16,5077.367922996028,58,Cultivos Multiples,0.0,col5-v2-arg-level_1-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
68,4_0_0,365676.7651481966,3,Leñosas Cerradas,0.0,col5-v2-arg-level_1-FINAL,1989,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
69,4_0_1,72505.77863063038,4,Leñosas Abiertas,0.0,col5-v2-arg-level_1-FINAL,1989,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
70,4_0_2,21939.55559064616,6,Leñosas Inundables,0.0,col5-v2-arg-level_1-FINAL,1989,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
71,4_0_3,675.1363864538109,9,Leñosas Cultivadas,0.0,col5-v2-arg-level_1-FINAL,1989,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
72,4_0_4,67866.11420951424,11,Pastizal Inundable,0.0,col5-v2-arg-level_1-FINAL,1989,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
73,4_0_5,14328.845380819366,15,Pasturas,0.0,col5-v2-arg-level_1-FINAL,1989,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
74,4_0_6,431.8356157311912,23,Playa y Dunas,0.0,col5-v2-arg-level_1-FINAL,1989,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
75,4_0_7,1540.2502966205186,24,Infraestructura Urbana,0.0,col5-v2-arg-level_1-FINAL,1989,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
76,4_0_8,330.92210937425966,25,Otras Areas No Vegetadas,0.0,col5-v2-arg-level_1-FINAL,1989,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
77,4_0_9,7968.314603558261,26,Cuerpo de agua,0.0,col5-v2-arg-level_1-FINAL,1989,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
78,4_0_10,5260.621323790054,32,Salinas,0.0,col5-v2-arg-level_1-FINAL,1989,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
79,4_0_11,6733.803771827943,42,Pastizal Abierto,0.0,col5-v2-arg-level_1-FINAL,1989,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
80,4_0_12,28341.73698008049,43,Pastizal Cerrado,0.0,col5-v2-arg-level_1-FINAL,1989,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
81,4_0_13,728.2533387454416,44,Pastizal Disperso,0.0,col5-v2-arg-level_1-FINAL,1989,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
82,4_0_14,15259.142229086736,45,Leñosas Dispersas,0.0,col5-v2-arg-level_1-FINAL,1989,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
83,4_0_15,39213.4163047014,57,Cultivos Simples,0.0,col5-v2-arg-level_1-FINAL,1989,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
84,4_0_16,2332.2117275787277,58,Cultivos Multiples,0.0,col5-v2-arg-level_1-FINAL,1989,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
85,5_0_0,366171.2864719646,3,Leñosas Cerradas,0.0,col5-v2-arg-level_1-FINAL,1990,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
86,5_0_1,72294.67809298517,4,Leñosas Abiertas,0.0,col5-v2-arg-level_1-FINAL,1990,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
87,5_0_2,22139.78998247289,6,Leñosas Inundables,0.0,col5-v2-arg-level_1-FINAL,1990,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
88,5_0_3,786.9365610537831,9,Leñosas Cultivadas,0.0,col5-v2-arg-level_1-FINAL,1990,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
